Order_ID,Product_ID,Seller_ID,Quantity,Discount,Sales,Cost,Profit,Order_Status
O0000001,P0399,S0026,3,0.03,6693.0,3982.74,2710.26,Completed
O0000001,P0192,S0026,3,0.08,3312.0,1852.56,1459.44,Completed
O0000002,P0127,S0006,1,0.08,3588.0,2039.43,1548.57,Completed
O0000002,P0308,S0006,4,0.05,3800.0,2395.08,1404.92,Completed
O0000002,P0098,S0006,4,0.03,29100.0,15863.44,13236.56,Completed
O0000003,P0184,S0057,1,0.15,2805.0,1597.19,1207.81,Completed
O0000003,P0240,S0057,2,0.12,4752.0,2638.68,2113.32,Completed
O0000003,P0060,S0057,3,0.15,10965.0,6839.94,4125.06,Completed
O0000004,P0234,S0005,4,0.05,16720.0,13572.6,3147.4,Completed
O0000004,P0199,S0005,1,0,3300,2055.31,1244.69,Completed
O0000005,P0322,S0027,3,0.2,63120.0,38865.9,24254.1,Completed
O0000005,P0119,S0027,2,0.1,10800.0,8046.7,2753.3,Completed
O0000006,P0046,S0057,3,0.08,11868.0,6838.92,5029.08,Completed
O0000006,P0367,S0057,3,0.2,65280.0,39961.32,25318.68,Completed
O0000007,P0219,S0017,1,0.12,792.0,466.21,325.79,Completed
O0000007,P0381,S0017,2,0.2,10240.0,6691.24,3548.76,Completed
O0000007,P0012,S0017,3,0.08,148488.0,100207.17,48280.83,Completed
O0000007,P0061,S0017,3,0,11700,8349.72,3350.28,Completed
O0000008,P0043,S0071,3,0.2,54720.0,34521.96,20198.04,Returned
O0000008,P0104,S0071,4,0.05,32680.0,21843.92,10836.08,Returned
O0000009,P0088,S0040,4,0.03,82644.0,54798.4,27845.6,Completed
O0000009,P0097,S0040,3,0,19500,10833.75,8666.25,Completed
O0000010,P0023,S0021,4,0.25,83400.0,75764.92,7635.08,Completed
O0000010,P0274,S0021,3,0.12,2376.0,1509.12,866.88,Completed
O0000011,P0352,S0031,1,0.25,375.0,283.77,91.23,Completed
