Order_ID,Order_Date,Customer_ID,Seller_ID,Order_Status,Payment_Method,Shipping_Mode
O0000001,2024-08-04,C00078,S0026,Completed,Debit Card,Express
O0000002,2025-08-19,C01723,S0006,Completed,Wallet,Standard
O0000003,2024-01-14,C00433,S0057,Completed,Net Banking,Standard
O0000004,2025-09-08,C00915,S0005,Completed,Wallet,Same Day
O0000005,2024-03-10,C01608,S0027,Completed,Credit Card,Same Day
O0000006,2025-11-07,C00597,S0057,Completed,UPI,Express
O0000007,2026-02-22,C00765,S0017,Completed,Credit Card,Express
O0000008,2026-06-25,C00490,S0071,Returned,COD,Standard
O0000009,2025-04-20,C00373,S0040,Completed,Net Banking,Express
O0000010,2025-01-11,C01778,S0021,Completed,Debit Card,Same Day
O0000011,2025-12-18,C00289,S0031,Completed,Wallet,Standard
O0000012,2025-06-06,C01194,S0008,Completed,Wallet,Same Day
O0000013,2024-10-01,C01088,S0033,Completed,Wallet,Same Day
O0000014,2026-01-25,C01795,S0012,Completed,COD,Same Day
O0000015,2024-01-11,C01468,S0013,Returned,COD,Standard
O0000016,2024-08-16,C00997,S0061,Completed,Credit Card,Same Day
O0000017,2025-08-30,C01590,S0025,Completed,Debit Card,Standard
O0000018,2025-01-05,C00922,S0079,Completed,Wallet,Same Day
O0000019,2025-06-03,C01199,S0015,Completed,Wallet,Standard
O0000020,2025-09-24,C00847,S0053,Completed,Wallet,Express
O0000021,2026-02-08,C00752,S0034,Completed,Wallet,Express
O0000022,2024-06-02,C01243,S0050,Completed,Debit Card,Standard
O0000023,2025-11-08,C00978,S0063,Completed,Credit Card,Same Day
O0000024,2024-01-31,C01439,S0018,Completed,Debit Card,Standard
O0000025,2026-03-20,C01519,S0020,Pending,Net Banking,Express
O0000026,2024-04-16,C00511,S0007,Completed,Credit Card,Same Day
O0000027,2024-04-14,C00479,S0061,Completed,Net Banking,Express
O0000028,2024-06-25,C00284,S0093,Completed,Wallet,Standard
O0000029,2024-11-28,C01659,S0030,Completed,Credit Card,Express
O0000030,2024-06-30,C01515,S0055,Completed,Wallet,Same Day
O0000031,2026-01-25,C00232,S0036,Completed,Credit Card,Same Day
O0000032,2026-05-01,C01744,S0032,Completed,Debit Card,Standard
O0000033,2025-10-27,C01228,S0021,Completed,Debit Card,Same Day
O0000034,2026-07-01,C00132,S0046,Completed,UPI,Standard
O0000035,2024-02-14,C00190,S0075,Completed,COD,Same Day
O0000036,2024-12-06,C01527,S0025,Completed,Net Banking,Same Day
O0000037,2025-04-28,C00848,S0017,Completed,Net Banking,Express
