Product_ID,Product_Name,Category,Subcategory,Brand,Unit_Cost,Unit_Price
P0001,NovaTech Laptops 01,Electronics,Laptops,NovaTech,42791.41,56200
P0002,UrbanEdge Laptops 02,Electronics,Laptops,UrbanEdge,28063.28,58300
P0003,HomeCraft Laptops 03,Electronics,Laptops,HomeCraft,25120.61,38500
P0004,Aero Laptops 04,Electronics,Laptops,Aero,48260.83,62600
P0005,Zenith Laptops 05,Electronics,Laptops,Zenith,21185.36,35000
P0006,PrimeLine Laptops 06,Electronics,Laptops,PrimeLine,43882.49,60200
P0007,Vista Laptops 07,Electronics,Laptops,Vista,42828.91,86800
P0008,CorePlus Laptops 08,Electronics,Laptops,CorePlus,50026.48,78300
P0009,Everday Laptops 09,Electronics,Laptops,Everday,58912.0,89800
P0010,BrightLife Laptops 10,Electronics,Laptops,BrightLife,27199.08,48000
P0011,NovaTech Laptops 11,Electronics,Laptops,NovaTech,30850.97,55800
P0012,UrbanEdge Laptops 12,Electronics,Laptops,UrbanEdge,33402.39,53800
P0013,HomeCraft Laptops 13,Electronics,Laptops,HomeCraft,33400.21,69400
P0014,Aero Laptops 14,Electronics,Laptops,Aero,64646.39,84100
P0015,Zenith Laptops 15,Electronics,Laptops,Zenith,29526.03,50000
P0016,PrimeLine Smartphones 01,Electronics,Smartphones,PrimeLine,30328.99,63000
P0017,Vista Smartphones 02,Electronics,Smartphones,Vista,35598.21,61100
P0018,CorePlus Smartphones 03,Electronics,Smartphones,CorePlus,38953.72,59800
P0019,Everday Smartphones 04,Electronics,Smartphones,Everday,15190.49,30800
P0020,BrightLife Smartphones 05,Electronics,Smartphones,BrightLife,13290.8,20400
P0021,NovaTech Smartphones 06,Electronics,Smartphones,NovaTech,40803.27,67800
P0022,UrbanEdge Smartphones 07,Electronics,Smartphones,UrbanEdge,30581.37,50300
P0023,HomeCraft Smartphones 08,Electronics,Smartphones,HomeCraft,18941.23,27800
P0024,Aero Smartphones 09,Electronics,Smartphones,Aero,8998.38,15800
P0025,Zenith Smartphones 10,Electronics,Smartphones,Zenith,22028.49,31500
P0026,PrimeLine Smartphones 11,Electronics,Smartphones,PrimeLine,24805.36,50800
P0027,Vista Smartphones 12,Electronics,Smartphones,Vista,20398.17,40300
