Seller_ID,Seller_Name,Seller_Type,Seller_Region
S0001,Seller 001,Direct,West
S0002,Seller 002,Marketplace,South
S0003,Seller 003,Direct,North
S0004,Seller 004,Direct,East
S0005,Seller 005,Premium,South
S0006,Seller 006,Premium,West
S0007,Seller 007,Direct,East
S0008,Seller 008,Premium,South
S0009,Seller 009,Marketplace,East
S0010,Seller 010,Premium,North
S0011,Seller 011,Marketplace,North
S0012,Seller 012,Marketplace,East
S0013,Seller 013,Direct,South
S0014,Seller 014,Premium,East
S0015,Seller 015,Marketplace,North
S0016,Seller 016,Premium,West
S0017,Seller 017,Premium,East
S0018,Seller 018,Marketplace,West
S0019,Seller 019,Direct,South
S0020,Seller 020,Marketplace,South
S0021,Seller 021,Premium,East
S0022,Seller 022,Marketplace,West
S0023,Seller 023,Marketplace,East
S0024,Seller 024,Direct,East
S0025,Seller 025,Premium,West
S0026,Seller 026,Premium,East
S0027,Seller 027,Direct,West
S0028,Seller 028,Direct,East
S0029,Seller 029,Premium,South
S0030,Seller 030,Premium,South
S0031,Seller 031,Marketplace,East
S0032,Seller 032,Direct,South
S0033,Seller 033,Direct,South
S0034,Seller 034,Direct,West
S0035,Seller 035,Premium,South
S0036,Seller 036,Marketplace,South
S0037,Seller 037,Direct,South
S0038,Seller 038,Premium,East
S0039,Seller 039,Marketplace,East
S0040,Seller 040,Premium,North
S0041,Seller 041,Premium,North
S0042,Seller 042,Premium,West
S0043,Seller 043,Marketplace,East
S0044,Seller 044,Premium,North
S0045,Seller 045,Direct,East
S0046,Seller 046,Premium,East
S0047,Seller 047,Premium,East
S0048,Seller 048,Premium,North
S0049,Seller 049,Direct,East
S0050,Seller 050,Direct,East
S0051,Seller 051,Premium,East
S0052,Seller 052,Premium,West
S0053,Seller 053,Marketplace,South
S0054,Seller 054,Premium,South
S0055,Seller 055,Marketplace,South
S0056,Seller 056,Marketplace,South
S0057,Seller 057,Marketplace,North
S0058,Seller 058,Marketplace,North
S0059,Seller 059,Marketplace,West
S0060,Seller 060,Premium,North
S0061,Seller 061,Direct,East
S0062,Seller 062,Marketplace,North
S0063,Seller 063,Premium,South
S0064,Seller 064,Premium,North
S0065,Seller 065,Direct,West
S0066,Seller 066,Premium,North
S0067,Seller 067,Direct,West
S0068,Seller 068,Direct,North
S0069,Seller 069,Direct,South
S0070,Seller 070,Marketplace,East
S0071,Seller 071,Premium,South
S0072,Seller 072,Premium,North
S0073,Seller 073,Marketplace,West
S0074,Seller 074,Direct,North
S0075,Seller 075,Marketplace,East
S0076,Seller 076,Premium,North
S0077,Seller 077,Marketplace,North
S0078,Seller 078,Premium,North
S0079,Seller 079,Premium,South
S0080,Seller 080,Premium,East
S0081,Seller 081,Premium,North
S0082,Seller 082,Marketplace,North
S0083,Seller 083,Premium,West
S0084,Seller 084,Premium,North
S0085,Seller 085,Marketplace,South
S0086,Seller 086,Direct,East
S0087,Seller 087,Marketplace,South
S0088,Seller 088,Premium,East
S0089,Seller 089,Direct,South
S0090,Seller 090,Marketplace,West
S0091,Seller 091,Direct,West
S0092,Seller 092,Marketplace,East
S0093,Seller 093,Marketplace,West
S0094,Seller 094,Direct,South
S0095,Seller 095,Direct,South
S0096,Seller 096,Premium,North
S0097,Seller 097,Premium,North
S0098,Seller 098,Premium,North
S0099,Seller 099,Marketplace,South
S0100,Seller 100,Marketplace,East
